hotel,city,room_type,season,day_of_week,is_holiday,is_weekend,occupancy,demand,booking_lead_time_days,competitor_price,room_price
The Meridian,Jaipur,Deluxe,High,Tuesday,0,0,30.32,49.32,45,9173.71,9290.3
The Meridian,Mumbai,Standard,Shoulder,Friday,0,0,51.51,69.34,26,8274.28,8390.66
Grand Palace,Delhi,Suite,Low,Thursday,0,0,52.96,56.49,33,10272.03,10986.03
Royal Residency,Bengaluru,Standard,Peak,Friday,0,0,44.3,60.24,25,7931.19,9535.67
Lakeside Inn,Delhi,Standard,Shoulder,Sunday,0,1,56.59,59.8,28,3648.82,3309.64
Royal Residency,Jaipur,Standard,High,Friday,1,0,63.72,75.15,14,7270.99,8164.53
Lakeside Inn,Mumbai,Standard,Shoulder,Thursday,0,0,25.13,36.08,42,3745.16,3302.73
Grand Palace,Goa,Standard,Low,Sunday,0,1,45.94,59.87,49,6086.72,6058.12
City View,Mumbai,Standard,Low,Thursday,0,0,49.63,60.49,10,4918.98,4043.48
The Meridian,Jaipur,Deluxe,Shoulder,Saturday,0,1,39.5,50.85,21,8704.29,8957.22
Grand Palace,Mumbai,Standard,Peak,Thursday,0,0,81.03,89.92,34,10582.98,12014.88
The Meridian,Mumbai,Deluxe,Shoulder,Tuesday,0,0,13.04,20.43,91,7387.31,7250.62
Sunrise Hotel,Jaipur,Deluxe,Shoulder,Monday,0,0,56.64,76.06,14,6350.58,6912.88
City View,Hyderabad,Standard,Shoulder,Saturday,0,1,54.86,55.8,26,4860.55,5413.27
City View,Mumbai,Deluxe,Shoulder,Saturday,0,1,53.2,70.02,23,8511.78,9021.77
Grand Palace,Bengaluru,Executive,Shoulder,Monday,0,0,34.01,48.06,41,7711.04,8325.71
City View,Bengaluru,Deluxe,Peak,Saturday,0,1,33.75,71.47,14,10120.9,11513.84
Lakeside Inn,Mumbai,Deluxe,Shoulder,Thursday,0,0,26.09,44.49,20,5283.39,5567.76
City View,Hyderabad,Standard,Shoulder,Friday,0,0,10.0,18.27,117,3601.89,2067.35
The Meridian,Goa,Suite,Low,Wednesday,0,0,39.4,54.64,5,11268.99,12991.7
The Meridian,Jaipur,Suite,Peak,Thursday,0,0,54.86,75.71,32,14478.39,17820.49
The Meridian,Bengaluru,Deluxe,Low,Sunday,0,1,52.73,52.32,33,8632.82,8558.3
The Meridian,Goa,Executive,Low,Sunday,0,1,45.99,65.54,24,9776.65,11073.94
Lakeside Inn,Mumbai,Standard,High,Friday,0,0,45.08,63.53,68,6367.58,6625.23
Royal Residency,Goa,Standard,High,Friday,0,0,60.18,71.5,38,7824.79,8877.61
Sunrise Hotel,Delhi,Suite,Shoulder,Saturday,0,1,45.13,68.47,97,10370.86,12375.91
Grand Palace,Bengaluru,Suite,Shoulder,Tuesday,0,0,46.23,37.31,7,9012.55,10898.62
The Meridian,Mumbai,Standard,High,Tuesday,0,0,50.09,51.3,45,8034.0,8250.65
City View,Jaipur,Standard,Low,Saturday,0,1,13.64,30.88,40,3870.25,3016.34
The Meridian,Hyderabad,Standard,High,Saturday,0,1,71.4,74.72,48,9669.54,9861.04
City View,Mumbai,Standard,High,Monday,0,0,69.07,69.33,64,5929.18,6010.9
Sunrise Hotel,Jaipur,Suite,Shoulder,Monday,0,0,10.28,26.47,81,8384.8,9591.31
Sunrise Hotel,Hyderabad,Deluxe,Shoulder,Wednesday,0,0,41.55,64.89,108,5259.06,5859.22
Sunrise Hotel,Hyderabad,Standard,Shoulder,Wednesday,0,0,21.36,33.49,12,3618.62,2791.64
City View,Mumbai,Standard,High,Wednesday,0,0,13.36,33.55,45,4646.28,4787.23
The Meridian,Goa,Standard,Shoulder,Wednesday,0,0,46.26,65.93,70,8124.58,7820.61
Sunrise Hotel,Goa,Standard,Shoulder,Friday,0,0,10.25,17.38,31,4440.48,4106.53
Lakeside Inn,Hyderabad,Deluxe,High,Friday,0,0,67.77,76.5,15,7269.51,9602.54
City View,Goa,Executive,Peak,Monday,0,0,68.95,83.1,16,10926.52,13098.92
City View,Delhi,Suite,Shoulder,Tuesday,0,0,39.09,49.47,19,7977.6,10189.69
The Meridian,Hyderabad,Standard,Peak,Saturday,0,1,57.23,75.68,43,10533.21,12060.11
City View,Hyderabad,Executive,Shoulder,Sunday,0,1,37.79,62.04,20,7810.0,8699.4
City View,Jaipur,Suite,Low,Tuesday,0,0,54.85,59.68,34,8870.22,10108.34
Sunrise Hotel,Goa,Suite,Low,Thursday,0,0,31.28,31.2,9,8565.05,9108.71
The Meridian,Hyderabad,Deluxe,Shoulder,Friday,1,0,48.5,66.67,9,9317.89,10311.22
Sunrise Hotel,Delhi,Standard,Low,Wednesday,0,0,36.57,58.03,51,4514.93,3208.17
Sunrise Hotel,Jaipur,Standard,Low,Wednesday,0,0,55.83,49.1,2,3266.57,2839.87
The Meridian,Mumbai,Standard,Peak,Thursday,0,0,56.15,65.47,84,9889.0,10815.76
Grand Palace,Hyderabad,Standard,High,Tuesday,0,0,66.37,76.1,43,8040.17,8449.76
Sunrise Hotel,Delhi,Standard,High,Wednesday,0,0,61.9,70.12,11,6023.18,6844.04
Lakeside Inn,Bengaluru,Deluxe,Low,Tuesday,0,0,13.21,30.78,41,4274.98,4014.81
Lakeside Inn,Delhi,Deluxe,Low,Saturday,1,1,62.44,57.86,23,5053.26,6560.6
City View,Delhi,Deluxe,Low,Thursday,1,0,48.83,64.47,15,5570.62,6586.25
Lakeside Inn,Jaipur,Standard,High,Sunday,0,1,69.4,74.6,73,6460.36,6643.95
City View,Mumbai,Executive,Peak,Tuesday,0,0,86.91,88.2,48,11395.39,14330.69
Grand Palace,Bengaluru,Executive,Shoulder,Saturday,0,1,41.99,50.22,21,8994.69,10499.69
The Meridian,Goa,Suite,Low,Tuesday,0,0,13.61,31.0,18,11312.22,11872.32
The Meridian,Goa,Executive,Shoulder,Tuesday,0,0,37.15,75.71,100,10309.57,11032.78
The Meridian,Delhi,Deluxe,Shoulder,Wednesday,0,0,17.22,21.47,44,7014.72,7140.39
Lakeside Inn,Jaipur,Executive,Shoulder,Monday,0,0,33.66,38.0,35,6503.82,6651.27
Grand Palace,Jaipur,Standard,High,Friday,0,0,49.06,66.92,17,7269.59,7947.18
Lakeside Inn,Goa,Standard,High,Tuesday,0,0,64.34,76.81,17,6462.58,6995.37
Lakeside Inn,Bengaluru,Standard,Low,Tuesday,1,0,55.18,62.05,118,4002.38,3143.19
Grand Palace,Mumbai,Standard,Low,Tuesday,0,0,73.37,77.36,53,6869.41,6665.47
Grand Palace,Bengaluru,Standard,Peak,Monday,0,0,56.22,71.35,32,7961.68,9002.45
Grand Palace,Hyderabad,Deluxe,Low,Saturday,0,1,34.62,42.78,10,7139.82,7457.03
Grand Palace,Hyderabad,Suite,Low,Sunday,0,1,40.79,51.92,22,10307.45,11598.9
The Meridian,Mumbai,Deluxe,Low,Sunday,0,1,41.76,50.52,44,8478.82,9151.86
Royal Residency,Goa,Standard,Low,Thursday,0,0,30.98,44.04,70,4823.94,3707.75
Royal Residency,Mumbai,Suite,Shoulder,Wednesday,0,0,20.44,31.25,36,9156.55,10409.94
Grand Palace,Jaipur,Deluxe,High,Monday,0,0,56.11,73.98,70,9051.64,10664.78
Royal Residency,Hyderabad,Standard,Shoulder,Saturday,0,1,50.92,60.19,37,5014.26,5822.71
Royal Residency,Delhi,Deluxe,Shoulder,Tuesday,0,0,13.92,27.31,66,4155.06,4646.29
Grand Palace,Delhi,Standard,High,Saturday,0,1,66.46,86.55,28,8576.3,10037.72
Royal Residency,Goa,Standard,Shoulder,Monday,0,0,45.67,33.64,66,5452.02,5497.37
Lakeside Inn,Jaipur,Executive,Peak,Monday,0,0,55.25,56.44,23,8485.04,11034.5
City View,Bengaluru,Standard,Peak,Monday,0,0,51.29,74.22,55,7073.11,7465.44
City View,Jaipur,Deluxe,Low,Thursday,0,0,25.37,20.39,39,3988.52,4163.91
Grand Palace,Delhi,Executive,High,Friday,1,0,71.26,79.25,3,11442.75,14016.44
The Meridian,Delhi,Deluxe,Shoulder,Wednesday,0,0,10.0,5.26,18,6334.92,5639.44
Grand Palace,Hyderabad,Standard,Peak,Thursday,0,0,40.96,58.59,8,8257.24,9310.58
The Meridian,Jaipur,Standard,Shoulder,Thursday,0,0,46.77,67.05,146,6377.71,6068.39
City View,Jaipur,Standard,Peak,Friday,0,0,54.22,63.39,48,6670.97,8568.95
Grand Palace,Delhi,Deluxe,High,Thursday,0,0,37.32,55.84,22,8884.59,9602.55
Sunrise Hotel,Bengaluru,Standard,Low,Monday,1,0,69.05,70.83,9,5264.56,5259.29
Lakeside Inn,Goa,Standard,Shoulder,Monday,0,0,41.61,33.9,36,4136.55,3643.52
Royal Residency,Goa,Executive,Peak,Saturday,0,1,76.4,93.69,47,12304.86,15994.4
The Meridian,Jaipur,Deluxe,Peak,Tuesday,0,0,84.73,89.44,22,11641.38,14264.94
Sunrise Hotel,Goa,Standard,Low,Thursday,0,0,38.28,51.7,41,4966.99,4029.54
Royal Residency,Delhi,Deluxe,High,Tuesday,1,0,34.49,50.77,73,7603.81,8409.65
Royal Residency,Delhi,Deluxe,Shoulder,Wednesday,0,0,40.97,36.54,16,5065.19,6036.58
Grand Palace,Jaipur,Standard,Low,Sunday,0,1,92.05,92.99,21,5770.94,7190.26
Royal Residency,Jaipur,Standard,Shoulder,Monday,0,0,50.9,38.13,8,3523.85,3788.33
Lakeside Inn,Hyderabad,Suite,Low,Saturday,0,1,82.71,96.81,75,9707.88,11874.17
Sunrise Hotel,Jaipur,Deluxe,High,Wednesday,0,0,79.9,86.93,25,7422.07,9336.47
Royal Residency,Bengaluru,Deluxe,Shoulder,Saturday,0,1,54.17,62.27,94,8099.45,8988.37
Grand Palace,Goa,Standard,High,Sunday,0,1,77.31,77.16,3,8658.8,9654.34
Lakeside Inn,Jaipur,Standard,Low,Sunday,0,1,44.1,48.49,42,2527.8,2701.95
City View,Mumbai,Standard,Shoulder,Friday,0,0,43.93,43.76,50,4968.55,4770.78
Sunrise Hotel,Hyderabad,Standard,Low,Monday,0,0,17.64,35.36,48,2339.52,2157.17
Royal Residency,Mumbai,Standard,Low,Wednesday,0,0,33.86,44.11,60,4570.38,3564.01
Grand Palace,Delhi,Standard,Low,Friday,0,0,29.4,25.93,39,3547.2,3930.45
City View,Goa,Suite,Low,Sunday,0,1,36.09,35.18,37,7986.62,10141.17
City View,Jaipur,Executive,High,Wednesday,1,0,82.14,89.21,8,8868.18,11337.65
The Meridian,Mumbai,Suite,Shoulder,Saturday,0,1,27.8,32.43,31,11462.65,12989.17
Lakeside Inn,Goa,Suite,Shoulder,Friday,0,0,40.55,57.41,38,9832.14,12173.74
Royal Residency,Delhi,Standard,Shoulder,Friday,0,0,14.56,18.48,19,3988.36,3087.79
Grand Palace,Bengaluru,Executive,Peak,Monday,0,0,67.56,81.81,17,12658.7,14671.36
The Meridian,Hyderabad,Standard,Peak,Tuesday,0,0,59.89,70.09,47,9333.96,10557.12
Lakeside Inn,Goa,Executive,Shoulder,Saturday,0,1,50.59,73.5,56,7337.71,9527.11
The Meridian,Goa,Executive,Shoulder,Saturday,0,1,38.63,50.35,18,10096.87,12105.24
Sunrise Hotel,Bengaluru,Deluxe,Low,Friday,0,0,12.94,16.87,28,4502.07,4381.22
Lakeside Inn,Goa,Executive,Peak,Friday,0,0,35.28,70.37,43,12435.9,14242.64
Lakeside Inn,Delhi,Deluxe,Low,Monday,0,0,47.06,47.24,19,4486.71,4544.93
Royal Residency,Delhi,Standard,Shoulder,Tuesday,0,0,37.03,43.15,33,4809.17,4045.28
Lakeside Inn,Bengaluru,Standard,Shoulder,Saturday,0,1,54.36,63.05,40,5310.05,4798.94
The Meridian,Hyderabad,Deluxe,Shoulder,Sunday,0,1,33.47,47.1,105,7778.34,8665.79
Lakeside Inn,Jaipur,Standard,Low,Thursday,0,0,28.26,27.31,28,1800.0,1841.22
Royal Residency,Mumbai,Deluxe,High,Thursday,0,0,31.86,49.0,6,8654.21,10098.59
Royal Residency,Jaipur,Executive,Low,Tuesday,0,0,24.23,37.78,9,5223.07,6588.31
Sunrise Hotel,Goa,Standard,High,Wednesday,0,0,51.92,55.66,19,7038.02,7092.35
The Meridian,Mumbai,Suite,Low,Monday,1,0,74.65,86.69,26,12231.33,14525.24
City View,Bengaluru,Executive,Low,Tuesday,0,0,38.53,62.57,70,7067.23,7265.86
City View,Bengaluru,Executive,Peak,Thursday,0,0,83.52,82.61,123,10778.04,12728.02
Lakeside Inn,Hyderabad,Executive,Low,Friday,0,0,34.44,51.24,29,6304.12,6860.34
Sunrise Hotel,Mumbai,Deluxe,High,Thursday,0,0,53.78,67.2,48,8648.91,10128.38
Grand Palace,Delhi,Executive,Shoulder,Friday,0,0,57.87,49.27,82,8601.17,9421.95
Lakeside Inn,Mumbai,Suite,Low,Monday,1,0,24.74,55.29,55,8205.75,8604.75
Sunrise Hotel,Goa,Standard,Peak,Friday,0,0,43.26,73.56,26,8405.25,9371.63
The Meridian,Delhi,Deluxe,Low,Tuesday,1,0,23.86,23.71,31,6552.75,7051.74
The Meridian,Bengaluru,Deluxe,Peak,Friday,0,0,30.84,67.83,33,13000.52,13375.59
The Meridian,Mumbai,Standard,Low,Wednesday,0,0,13.71,41.64,85,6448.6,4982.81
The Meridian,Jaipur,Deluxe,Peak,Tuesday,0,0,63.01,62.51,66,11402.11,12736.73
The Meridian,Hyderabad,Deluxe,Low,Monday,1,0,32.99,45.21,64,6890.1,7412.04
Sunrise Hotel,Jaipur,Standard,Shoulder,Tuesday,0,0,62.31,49.21,46,3472.12,3812.63
Sunrise Hotel,Hyderabad,Deluxe,High,Wednesday,0,0,50.12,73.75,39,7389.57,8967.22
Royal Residency,Goa,Suite,Peak,Monday,0,0,60.11,77.19,30,12852.33,16128.2
City View,Jaipur,Deluxe,Peak,Thursday,0,0,73.79,83.39,12,8538.72,10880.75
The Meridian,Mumbai,Standard,High,Wednesday,0,0,65.1,73.64,54,9232.4,10073.22
Grand Palace,Mumbai,Standard,Peak,Monday,0,0,53.87,68.8,22,8798.03,9264.62
Sunrise Hotel,Jaipur,Standard,Low,Sunday,0,1,44.65,62.35,59,4676.37,4333.67
Grand Palace,Mumbai,Executive,Shoulder,Friday,0,0,19.17,20.55,5,8029.6,9232.2
Grand Palace,Goa,Standard,Shoulder,Tuesday,0,0,46.26,39.62,14,4705.22,5952.93
Grand Palace,Delhi,Deluxe,Shoulder,Monday,0,0,38.77,37.97,65,6678.72,6521.95
Royal Residency,Goa,Standard,Shoulder,Tuesday,0,0,48.15,66.44,86,5211.66,5177.28
Sunrise Hotel,Hyderabad,Standard,Shoulder,Friday,0,0,30.85,49.72,59,4686.65,4266.07
Grand Palace,Goa,Suite,Low,Monday,0,0,14.65,26.32,16,8924.01,9981.44
The Meridian,Hyderabad,Deluxe,High,Thursday,0,0,45.75,71.32,68,10250.98,11463.7
Lakeside Inn,Mumbai,Standard,Low,Sunday,1,1,63.58,75.74,17,4201.17,5134.58
Grand Palace,Delhi,Standard,Shoulder,Sunday,1,1,58.77,61.74,69,6311.31,6277.6
Royal Residency,Mumbai,Standard,Shoulder,Wednesday,0,0,44.11,54.66,13,5480.15,5250.12
Sunrise Hotel,Bengaluru,Deluxe,High,Monday,0,0,40.21,28.06,24,6377.21,7671.87
Royal Residency,Mumbai,Deluxe,High,Friday,1,0,44.99,33.21,2,7449.69,9000.99
Grand Palace,Hyderabad,Standard,High,Monday,0,0,41.21,46.5,14,6892.19,6544.69
Sunrise Hotel,Mumbai,Standard,Low,Tuesday,0,0,45.63,47.09,53,3839.97,3727.61
Lakeside Inn,Mumbai,Standard,Shoulder,Saturday,1,1,60.24,84.45,111,6224.08,6180.03
Grand Palace,Delhi,Executive,Low,Monday,0,0,20.36,29.23,72,6246.05,5317.02
Royal Residency,Mumbai,Executive,Shoulder,Sunday,0,1,48.02,43.05,57,9906.57,10459.53
City View,Delhi,Standard,Shoulder,Sunday,0,1,40.32,56.24,9,4535.66,4400.8
The Meridian,Jaipur,Suite,Low,Sunday,0,1,54.32,48.11,24,10207.15,11701.66
Royal Residency,Bengaluru,Standard,Shoulder,Thursday,0,0,41.72,37.31,95,4728.49,4387.83
Sunrise Hotel,Delhi,Standard,Peak,Monday,0,0,62.54,67.1,35,7536.01,8366.02
Grand Palace,Hyderabad,Suite,Peak,Wednesday,0,0,63.23,91.41,12,13726.82,16427.72
The Meridian,Jaipur,Executive,Shoulder,Monday,0,0,46.59,60.63,24,9126.32,10303.89
Grand Palace,Delhi,Executive,Low,Saturday,0,1,51.81,55.33,4,8684.73,9875.38
Sunrise Hotel,Delhi,Deluxe,Low,Sunday,0,1,54.24,78.16,62,6765.79,7151.3
Grand Palace,Bengaluru,Standard,Shoulder,Tuesday,0,0,40.84,52.13,10,5413.04,4892.58
City View,Hyderabad,Suite,Peak,Sunday,0,1,88.83,99.15,34,12516.97,16072.34
The Meridian,Goa,Standard,Low,Monday,0,0,21.34,32.95,11,5544.79,5306.14
The Meridian,Goa,Deluxe,High,Thursday,0,0,35.69,53.85,38,10888.16,11179.19
Sunrise Hotel,Delhi,Standard,Low,Friday,0,0,11.27,35.7,59,3972.29,2563.79
City View,Mumbai,Deluxe,Peak,Monday,0,0,55.0,71.79,22,10145.99,11614.82
Royal Residency,Hyderabad,Standard,Shoulder,Monday,0,0,45.32,45.84,80,4276.19,4319.98
Grand Palace,Jaipur,Standard,High,Wednesday,0,0,46.65,67.54,55,6716.77,7058.0
Lakeside Inn,Mumbai,Executive,Shoulder,Thursday,0,0,59.73,72.62,49,7157.41,8949.58
Grand Palace,Mumbai,Standard,High,Saturday,0,1,65.9,83.1,78,9040.64,9954.23
Grand Palace,Hyderabad,Deluxe,Low,Friday,0,0,24.32,37.79,39,6634.84,6953.41
Royal Residency,Delhi,Standard,Low,Sunday,1,1,60.0,62.95,26,4084.51,5495.04
Grand Palace,Delhi,Standard,Peak,Tuesday,0,0,93.56,94.07,45,9673.48,10931.45
City View,Delhi,Standard,Peak,Monday,0,0,78.88,83.95,12,7167.7,8860.57
City View,Delhi,Standard,Peak,Saturday,0,1,75.04,100.0,63,8861.75,10632.08
The Meridian,Goa,Suite,High,Friday,0,0,66.04,56.24,63,14087.48,16756.75
Sunrise Hotel,Delhi,Standard,High,Tuesday,1,0,60.06,61.04,28,5732.99,6572.79
Lakeside Inn,Goa,Executive,Low,Saturday,0,1,32.52,45.24,21,7964.96,8272.78
Grand Palace,Goa,Deluxe,Shoulder,Thursday,0,0,24.53,39.37,40,8010.99,7985.43
Grand Palace,Delhi,Standard,Shoulder,Thursday,0,0,35.9,30.11,10,4537.24,5103.87
Royal Residency,Bengaluru,Deluxe,High,Friday,0,0,56.79,67.13,25,7495.53,9911.06
Sunrise Hotel,Jaipur,Deluxe,Shoulder,Sunday,0,1,40.18,59.37,75,6926.35,6434.06
City View,Mumbai,Suite,Low,Tuesday,0,0,50.79,63.74,14,8500.2,10274.73
Lakeside Inn,Goa,Standard,High,Thursday,0,0,27.38,38.36,82,5675.81,5247.88
The Meridian,Hyderabad,Standard,High,Friday,0,0,32.58,49.78,46,8212.96,8232.52
City View,Hyderabad,Executive,Shoulder,Thursday,0,0,56.29,56.28,50,6830.28,7982.05
Sunrise Hotel,Jaipur,Executive,Low,Thursday,0,0,46.82,47.57,21,6743.88,7426.08
The Meridian,Hyderabad,Executive,Low,Saturday,0,1,54.0,55.63,16,9831.42,11158.47
Royal Residency,Bengaluru,Standard,Low,Saturday,0,1,67.86,72.69,27,6042.05,6395.25
Royal Residency,Hyderabad,Suite,Shoulder,Thursday,0,0,16.15,30.86,98,7657.78,9343.87
Grand Palace,Mumbai,Deluxe,High,Wednesday,0,0,37.26,52.8,20,9015.85,9404.85
Sunrise Hotel,Mumbai,Deluxe,High,Saturday,0,1,64.73,61.15,3,8530.94,10593.73
Lakeside Inn,Goa,Standard,High,Tuesday,1,0,36.19,42.82,37,4805.5,5545.6
The Meridian,Delhi,Deluxe,Shoulder,Friday,0,0,23.72,46.86,72,8427.57,8804.57
City View,Bengaluru,Standard,High,Friday,0,0,47.83,55.68,40,6657.34,6550.09
Sunrise Hotel,Goa,Standard,Low,Sunday,0,1,43.23,44.74,102,5030.3,4155.53
Sunrise Hotel,Bengaluru,Suite,Shoulder,Tuesday,0,0,31.65,32.21,53,8421.49,9295.66
Royal Residency,Delhi,Standard,High,Tuesday,0,0,42.08,62.75,40,6543.0,6862.99
Grand Palace,Hyderabad,Standard,Low,Tuesday,0,0,46.6,33.82,27,3590.11,2713.74
Grand Palace,Hyderabad,Standard,Low,Sunday,0,1,32.64,58.1,48,4524.18,3913.75
The Meridian,Delhi,Executive,Peak,Tuesday,0,0,66.24,79.43,8,11890.71,14971.66
Royal Residency,Goa,Deluxe,Shoulder,Monday,0,0,50.88,40.88,98,7084.64,7543.75
Sunrise Hotel,Delhi,Standard,High,Sunday,0,1,61.62,67.93,59,6821.4,6649.8
Lakeside Inn,Jaipur,Suite,Low,Friday,0,0,47.39,47.6,59,8026.63,9597.33
Royal Residency,Mumbai,Suite,High,Monday,0,0,40.8,62.6,33,10966.89,13298.53
The Meridian,Goa,Standard,Shoulder,Sunday,0,1,63.84,73.62,81,9186.75,9125.7
The Meridian,Bengaluru,Deluxe,Low,Thursday,0,0,40.19,49.46,29,8900.32,8658.28
Royal Residency,Jaipur,Suite,High,Thursday,0,0,52.94,78.34,22,11465.27,13872.79
The Meridian,Goa,Deluxe,Low,Friday,0,0,52.56,53.55,35,9993.43,10409.53
Royal Residency,Delhi,Standard,Shoulder,Thursday,0,0,13.57,26.54,61,4271.9,3300.68
City View,Delhi,Executive,Low,Tuesday,0,0,23.48,37.18,19,5598.08,6080.03
Royal Residency,Delhi,Deluxe,Low,Sunday,0,1,48.87,54.33,17,6102.37,6825.69
Royal Residency,Delhi,Standard,Shoulder,Monday,1,0,52.0,65.16,16,4304.65,4869.12
The Meridian,Bengaluru,Standard,Low,Tuesday,1,0,67.28,79.99,24,6899.49,7352.86
The Meridian,Jaipur,Standard,Peak,Thursday,0,0,52.26,66.22,65,9261.19,10502.94
Grand Palace,Hyderabad,Standard,Low,Saturday,0,1,59.86,55.77,38,5505.45,6386.04
Grand Palace,Mumbai,Suite,Shoulder,Monday,0,0,36.83,56.2,12,10466.29,12217.09
City View,Bengaluru,Standard,Low,Tuesday,0,0,31.59,44.19,134,2314.5,1961.52
Grand Palace,Bengaluru,Standard,Shoulder,Sunday,0,1,68.79,78.02,11,7081.17,7756.71
Royal Residency,Hyderabad,Deluxe,Peak,Friday,0,0,34.51,54.13,24,9847.37,11371.83
The Meridian,Hyderabad,Standard,Low,Tuesday,0,0,34.36,54.49,16,6074.19,5004.91
Grand Palace,Mumbai,Executive,Peak,Saturday,0,1,77.11,92.35,20,12956.22,16015.88
Grand Palace,Mumbai,Standard,Low,Thursday,0,0,58.8,61.13,35,6054.64,6442.42
City View,Hyderabad,Standard,High,Monday,0,0,62.35,63.87,29,5395.58,5705.69
Sunrise Hotel,Delhi,Standard,Shoulder,Friday,0,0,48.05,57.48,18,5175.36,5334.47
City View,Bengaluru,Standard,Peak,Monday,1,0,56.84,77.51,42,8160.93,8647.99
Royal Residency,Goa,Standard,High,Friday,0,0,45.22,51.78,47,7282.01,8203.16
The Meridian,Mumbai,Deluxe,Shoulder,Sunday,0,1,39.89,41.74,53,9042.56,9314.35
City View,Mumbai,Executive,Low,Monday,0,0,22.97,24.82,36,5529.75,6011.69
Grand Palace,Hyderabad,Standard,Low,Thursday,0,0,44.17,38.82,45,4723.49,3910.07
The Meridian,Jaipur,Deluxe,Peak,Sunday,0,1,61.49,87.36,52,12473.86,14466.9
The Meridian,Goa,Deluxe,Shoulder,Sunday,0,1,35.74,52.09,20,9720.47,10261.99
Grand Palace,Goa,Suite,Shoulder,Friday,0,0,50.13,47.77,114,10648.09,12897.48
